timestamp,joint,x,y,z
0,0,0.007870622,0.496755981,1.127567127
0,1,0.010199269,0.486441322,1.094906978
0,2,0.014994264,0.486468903,1.095359959
0,3,0.018465719,0.486243817,1.095326923
0,4,0.001193368,0.484674767,1.09293022
0,5,-0.003154359,0.483090317,1.092310637
0,6,-0.006112506,0.482624249,1.093257554
0,7,0.020749083,0.435129858,0.993115605
0,8,-0.00874455,0.421733537,0.975791059
0,9,0.014956878,0.474682337,1.100007355
0,10,0.003868795,0.47286762,1.094369546
0,11,0.069666325,0.357951268,0.959209606
0,12,-0.04280102,0.359527208,0.960473858
0,13,0.079549901,0.1814644,0.925651677
0,14,-0.067979516,0.182745738,0.979154164
0,15,0.080135837,0.011876125,0.9807289
0,16,-0.066563313,0.029696812,1.050178379
0,17,0.076130996,-0.038967092,0.981378945
0,18,-0.068136152,-0.005944186,1.066506445
0,19,0.072354587,-0.044201614,0.992910494
0,20,-0.061253235,-0.004766014,1.069647774
0,21,0.068373511,-0.01516866,0.984955552
0,22,-0.054825462,0.00578351,1.055329222
0,23,0.041884852,0.056479389,0.988790574
0,24,-0.021577113,0.051708779,1.012776735
0,25,0.043595663,-0.213545903,1.040660776
0,26,-0.016895791,-0.230798872,1.091477454
0,27,0.046873992,-0.536038338,1.121201329
0,28,-0.009445984,-0.557220513,1.180745617
0,29,0.036643379,-0.583790143,1.123290136
0,30,-0.003513105,-0.619193523,1.19092609
0,31,0.054747957,-0.524040828,1.085818492
0,32,0.002524822,-0.526754612,1.144943714
0.033333333,0,0.008019654,0.516452816,1.135153511
0.033333333,1,0.010834644,0.508373382,1.10262999
0.033333333,2,0.015458632,0.507567495,1.102978938
0.033333333,3,0.019664771,0.509427795,1.103175626
0.033333333,4,0.00120161,0.509398924,1.101440751
0.033333333,5,-0.003134416,0.509173675,1.101017014
0.033333333,6,-0.006160146,0.509162984,1.101883934
0.033333333,7,0.022732922,0.451906797,0.99947104
0.033333333,8,-0.008981433,0.448131168,0.98603207
0.033333333,9,0.015028861,0.494760263,1.106722788
0.033333333,10,0.003806726,0.495206865,1.102844418
0.033333333,11,0.070690882,0.370010507,0.972322499
0.033333333,12,-0.044700984,0.377371497,0.975852245
0.033333333,13,0.082520571,0.190694393,0.944740311
0.033333333,14,-0.069439537,0.201326742,1.000597873
0.033333333,15,0.086554555,0.020372988,0.992015795
0.033333333,16,-0.072382641,0.036351539,1.064987072
0.033333333,17,0.089044477,-0.023297168,0.991430645
0.033333333,18,-0.076875529,0.000803421,1.079283112
0.033333333,19,0.080971433,-0.026825752,1.000832667
0.033333333,20,-0.066817766,-1.08643E-05,1.078540989
0.033333333,21,0.07696739,-0.008776372,0.995484368
0.033333333,22,-0.061274939,0.010253563,1.0691899
0.033333333,23,0.042786002,0.059033952,1.01810038
0.033333333,24,-0.024352926,0.06044634,1.035235444
0.033333333,25,0.046272192,-0.228772252,1.068881617
0.033333333,26,-0.016982489,-0.240315219,1.117333361
0.033333333,27,0.044452606,-0.554108776,1.152535857
0.033333333,28,-0.009647674,-0.570228209,1.205992804
0.033333333,29,0.037697526,-0.615813556,1.155264796
0.033333333,30,-0.003836426,-0.63397989,1.216054485
0.033333333,31,0.04552101,-0.54140148,1.115468883
0.033333333,32,-0.000729666,-0.541957377,1.170117484
0.066666667,0,0.007156473,0.519256114,1.110454755
0.066666667,1,0.010505296,0.513847849,1.075532276
0.066666667,2,0.014394401,0.513249739,1.075853767
0.066666667,3,0.018343386,0.512704498,1.075973265
0.066666667,4,-0.001129171,0.517350147,1.077853074
0.066666667,5,-0.005011948,0.51785767,1.07748003
0.066666667,6,-0.008752872,0.518266628,1.078177268
0.066666667,7,0.023392103,0.459035804,0.967528837
0.066666667,8,-0.013179105,0.459559149,0.969949404
0.066666667,9,0.011933259,0.494042261,1.080144102
0.066666667,10,2.00504E-05,0.492235281,1.081637539
0.066666667,11,0.06908831,0.36753005,0.942843007
0.066666667,12,-0.0495352,0.383827127,0.983108306
0.066666667,13,0.079410046,0.193594225,0.923370438
0.066666667,14,-0.071770689,0.195907213,0.997401824
0.066666667,15,0.097212449,0.024000417,0.973148609
0.066666667,16,-0.078363687,0.028252661,1.021135722
0.066666667,17,0.102764827,-0.03440935,0.972422326
0.066666667,18,-0.085520669,-0.008489766,1.031103993
0.066666667,19,0.089220682,-0.019746926,0.980912963
0.066666667,20,-0.075972072,-0.008171814,1.022518404
0.066666667,21,0.085338683,-0.003785943,0.977735171
0.066666667,22,-0.068515874,0.004790762,1.021116546
0.066666667,23,0.042221615,0.062300377,1.042293864
0.066666667,24,-0.028829958,0.063817625,1.063021417
0.066666667,25,0.046906082,-0.238685992,1.063464279
0.066666667,26,-0.017684762,-0.250883868,1.12732652
0.066666667,27,0.038517058,-0.538217999,1.133602562
0.066666667,28,-0.011814996,-0.561028177,1.184848191
0.066666667,29,0.0362415,-0.614356298,1.133870924
0.066666667,30,-0.004162173,-0.620876199,1.190535547
0.066666667,31,0.037283698,-0.505507518,1.082910402
0.066666667,32,-0.003327661,-0.545456078,1.141088383
0.1,0,0.00518975,0.531206513,1.142150413
0.1,1,0.009308498,0.527053225,1.108013868
0.1,2,0.01304293,0.526509326,1.108300987
0.1,3,0.017538,0.525945882,1.108484202
0.1,4,-0.001692276,0.530312907,1.109830319
0.1,5,-0.005471207,0.531067703,1.109398413
0.1,6,-0.009335277,0.531956827,1.110094897
0.1,7,0.021502247,0.471097162,0.99825346
0.1,8,-0.014072766,0.472447331,1.000143322
0.1,9,0.009865444,0.501179207,1.110974773
0.1,10,-0.001195062,0.502538364,1.111716516
0.1,11,0.069757143,0.377574953,0.96512803
0.1,12,-0.052527688,0.393200612,1.012547124
0.1,13,0.081682314,0.203519026,0.943471852
0.1,14,-0.077587165,0.201881507,1.024401414
